 time            v(out)          time            v(outpl)        time            v(outdrl)       time            v(outdrlpl)    
 3.44369527e-02  6.57164273e-01  3.44369527e-02  6.28611464e-01  3.44369527e-02  7.85723022e-01  3.44369527e-02  7.89160937e-01 
 3.54369527e-02  6.59013530e-01  3.54369527e-02  6.30430470e-01  3.54369527e-02  7.86358177e-01  3.54369527e-02  7.89803239e-01 
 3.64369527e-02  6.61360097e-01  3.64369527e-02  6.32684785e-01  3.64369527e-02  7.78467884e-01  3.64369527e-02  7.81873598e-01 
 3.74369527e-02  6.64181345e-01  3.74369527e-02  6.35355460e-01  3.74369527e-02  7.62832927e-01  3.74369527e-02  7.66151298e-01 
 3.84369527e-02  6.67424076e-01  3.84369527e-02  6.38398082e-01  3.84369527e-02  7.41001602e-01  3.84369527e-02  7.44176071e-01 
 3.94369527e-02  6.71018332e-01  3.94369527e-02  6.41754781e-01  3.94369527e-02  7.15154524e-01  3.94369527e-02  7.18127744e-01 
 4.04369527e-02  6.74869118e-01  4.04369527e-02  6.45346954e-01  4.04369527e-02  6.87864810e-01  4.04369527e-02  6.90609063e-01 
 4.14369527e-02  6.78859500e-01  4.14369527e-02  6.49077356e-01  4.14369527e-02  6.61815608e-01  4.14369527e-02  6.64346492e-01 
 4.24369527e-02  6.82849203e-01  4.24369527e-02  6.52828051e-01  4.24369527e-02  6.39525697e-01  4.24369527e-02  6.41882866e-01 
 4.34369527e-02  6.86702405e-01  4.34369527e-02  6.56482337e-01  4.34369527e-02  6.23133569e-01  4.34369527e-02  6.25369589e-01 
 4.44369527e-02  6.90298406e-01  4.44369527e-02  6.59934840e-01  4.44369527e-02  6.14200341e-01  4.44369527e-02  6.16371681e-01 
 4.54369527e-02  6.93558017e-01  4.54369527e-02  6.63114648e-01  4.54369527e-02  6.13577879e-01  4.54369527e-02  6.15743792e-01 
 4.64369527e-02  6.96445423e-01  4.64369527e-02  6.65988512e-01  4.64369527e-02  6.21322940e-01  4.64369527e-02  6.23541897e-01 
 4.74369527e-02  6.98980978e-01  4.74369527e-02  6.68571719e-01  4.74369527e-02  6.36700478e-01  4.74369527e-02  6.39030577e-01 
 4.84369527e-02  7.01228465e-01  4.84369527e-02  6.70916729e-01  4.84369527e-02  6.58243463e-01  4.84369527e-02  6.60738440e-01 
 4.94369527e-02  7.03293678e-01  4.94369527e-02  6.73110727e-01  4.94369527e-02  6.83893385e-01  4.94369527e-02  6.86598959e-01 
 5.04369527e-02  7.05296756e-01  5.04369527e-02  6.75252446e-01  5.04369527e-02  7.11170745e-01  5.04369527e-02  7.14107782e-01 
 5.14369527e-02  7.07359732e-01  5.14369527e-02  6.77442074e-01  5.14369527e-02  7.37400132e-01  5.14369527e-02  7.40547342e-01 
 5.24369527e-02  7.09585137e-01  5.24369527e-02  6.79764296e-01  5.24369527e-02  7.59968738e-01  5.24369527e-02  7.63272625e-01 
 5.34369527e-02  7.12066522e-01  5.34369527e-02  6.82297253e-01  5.34369527e-02  7.76628378e-01  5.34369527e-02  7.80034685e-01 
 5.44369527e-02  7.14874165e-01  5.44369527e-02  6.85100589e-01  5.44369527e-02  7.85723928e-01  5.44369527e-02  7.89183229e-01 
 5.54369527e-02  7.18054456e-01  5.54369527e-02  6.88213906e-01  5.54369527e-02  7.86358951e-01  5.54369527e-02  7.89825773e-01 
 5.64369527e-02  7.21611117e-01  5.64369527e-02  6.91641012e-01  5.64369527e-02  7.78468492e-01  5.64369527e-02  7.81896416e-01 
 5.74369527e-02  7.25512196e-01  5.74369527e-02  6.95354932e-01  5.74369527e-02  7.62833382e-01  5.74369527e-02  7.66174119e-01 
 5.84369527e-02  7.29683415e-01  5.84369527e-02  6.99292560e-01  5.84369527e-02  7.41001875e-01  5.84369527e-02  7.44198749e-01 
 5.94369527e-02  7.34025518e-01  5.94369527e-02  7.03369384e-01  5.94369527e-02  7.15154995e-01  5.94369527e-02  7.18150632e-01 
 6.04369527e-02  7.38404854e-01  6.04369527e-02  7.07471376e-01  6.04369527e-02  6.87864706e-01  6.04369527e-02  6.90630224e-01 
 6.14369527e-02  7.42660706e-01  6.14369527e-02  7.11460185e-01  6.14369527e-02  6.61815375e-01  6.14369527e-02  6.64366667e-01 
 6.24369527e-02  7.46608224e-01  6.24369527e-02  7.15174755e-01  6.24369527e-02  6.39525279e-01  6.24369527e-02  6.41902111e-01 
 6.34369527e-02  7.50076035e-01  6.34369527e-02  7.18463353e-01  6.34369527e-02  6.23133010e-01  6.34369527e-02  6.25387920e-01 
 6.44369527e-02  7.52922281e-01  6.44369527e-02  7.21198011e-01  6.44369527e-02  6.14199629e-01  6.44369527e-02  6.16389369e-01 
 6.54369527e-02  7.55062992e-01  6.54369527e-02  7.23300687e-01  6.54369527e-02  6.13577041e-01  6.54369527e-02  6.15760909e-01 
 6.64369527e-02  7.56471562e-01  6.64369527e-02  7.24744986e-01  6.64369527e-02  6.21321962e-01  6.64369527e-02  6.23558708e-01 
 6.74369527e-02  7.57191390e-01  6.74369527e-02  7.25567202e-01  6.74369527e-02  6.36699385e-01  6.74369527e-02  6.39047116e-01 
 6.84369527e-02  7.57321143e-01  6.84369527e-02  7.25852841e-01  6.84369527e-02  6.58242251e-01  6.84369527e-02  6.60754860e-01 
 6.94369527e-02  7.57010552e-01  6.94369527e-02  7.25732100e-01  6.94369527e-02  6.83892089e-01  6.94369527e-02  6.86615170e-01 
 7.04369527e-02  7.56426281e-01  7.04369527e-02  7.25349490e-01  7.04369527e-02  7.11169370e-01  7.04369527e-02  7.14123792e-01 
 7.14369527e-02  7.55731618e-01  7.14369527e-02  7.24846258e-01  7.14369527e-02  7.37397078e-01  7.14369527e-02  7.40561377e-01 
 7.24369527e-02  7.55064068e-01  7.24369527e-02  7.24341549e-01  7.24369527e-02  7.59967400e-01  7.24369527e-02  7.63287361e-01 
 7.34369527e-02  7.54538250e-01  7.34369527e-02  7.23935012e-01  7.34369527e-02  7.76626950e-01  7.34369527e-02  7.80048334e-01 
 7.44369527e-02  7.54239281e-01  7.44369527e-02  7.23701087e-01  7.44369527e-02  7.85722552e-01  7.44369527e-02  7.89195884e-01 
 7.54369527e-02  7.54218279e-01  7.54369527e-02  7.23684470e-01  7.54369527e-02  7.86357635e-01  7.54369527e-02  7.89837272e-01 
 7.64369527e-02  7.54476120e-01  7.64369527e-02  7.23885833e-01  7.64369527e-02  7.78467241e-01  7.64369527e-02  7.81906840e-01 
 7.74369527e-02  7.54972317e-01  7.74369527e-02  7.24269915e-01  7.74369527e-02  7.62832230e-01  7.74369527e-02  7.66183310e-01 
 7.84369527e-02  7.55622615e-01  7.84369527e-02  7.24762951e-01  7.84369527e-02  7.41000826e-01  7.84369527e-02  7.44206750e-01 
 7.94369527e-02  7.56319544e-01  7.94369527e-02  7.25271415e-01  7.94369527e-02  7.15153720e-01  7.94369527e-02  7.18156384e-01 
 8.04369527e-02  7.56926237e-01  8.04369527e-02  7.25676719e-01  8.04369527e-02  6.87863962e-01  8.04369527e-02  6.90635555e-01 
 8.14369527e-02  7.57284648e-01  8.14369527e-02  7.25842116e-01  8.14369527e-02  6.61814766e-01  8.14369527e-02  6.64370589e-01 
 8.24369527e-02  7.57222436e-01  8.24369527e-02  7.25618280e-01  8.24369527e-02  6.39524844e-01  8.24369527e-02  6.41904891e-01 
 8.34369527e-02  7.56591188e-01  8.34369527e-02  7.24876102e-01  8.34369527e-02  6.23132752e-01  8.34369527e-02  6.25389542e-01 
 8.44369527e-02  7.55280227e-01  8.44369527e-02  7.23519555e-01  8.44369527e-02  6.14199533e-01  8.44369527e-02  6.16389974e-01 
 8.54369527e-02  7.53241969e-01  8.54369527e-02  7.21508389e-01  8.54369527e-02  6.13577120e-01  8.54369527e-02  6.15760448e-01 
 8.64369527e-02  7.50488319e-01  8.64369527e-02  7.18856200e-01  8.64369527e-02  6.21322202e-01  8.64369527e-02  6.23557232e-01 
 8.74369527e-02  7.47099407e-01  8.74369527e-02  7.15637607e-01  8.74369527e-02  6.36699803e-01  8.74369527e-02  6.39044498e-01 
 8.84369527e-02  7.43206256e-01  8.84369527e-02  7.11971181e-01  8.84369527e-02  6.58242828e-01  8.84369527e-02  6.60751099e-01 
 8.94369527e-02  7.38982474e-01  8.94369527e-02  7.08010983e-01  8.94369527e-02  6.83892838e-01  8.94369527e-02  6.86610088e-01 
 9.04369527e-02  7.34608286e-01  9.04369527e-02  7.03914340e-01  9.04369527e-02  7.11169330e-01  9.04369527e-02  7.14115817e-01 
 9.14369527e-02  7.30253225e-01  9.14369527e-02  6.99827201e-01  9.14369527e-02  7.37399833e-01  9.14369527e-02  7.40555084e-01 
 9.24369527e-02  7.26048445e-01  9.24369527e-02  6.95861827e-01  9.24369527e-02  7.59968424e-01  9.24369527e-02  7.63278259e-01 
 9.34369527e-02  7.22103710e-01  9.34369527e-02  6.92111596e-01  9.34369527e-02  7.76628220e-01  9.34369527e-02  7.80038085e-01 
 9.44369527e-02  7.18493459e-01  9.44369527e-02  6.88639780e-01  9.44369527e-02  7.85723859e-01  9.44369527e-02  7.89184538e-01 
 9.54369527e-02  7.15259780e-01  9.54369527e-02  6.85481968e-01  9.54369527e-02  7.86359010e-01  9.54369527e-02  7.89824779e-01 
 9.64369527e-02  7.12399765e-01  9.64369527e-02  6.82635162e-01  9.64369527e-02  7.78468644e-01  9.64369527e-02  7.81893319e-01 
