 time            v(out)          time            v(outpl)        time            v(outdrl)       time            v(outdrlpl)    
 1.78436953e-01  7.55622638e-01  1.78436953e-01  7.24762973e-01  1.78436953e-01  7.41000804e-01  1.78436953e-01  7.44206795e-01 
 1.79436953e-01  7.56319487e-01  1.79436953e-01  7.25271395e-01  1.79436953e-01  7.15153742e-01  1.79436953e-01  7.18156341e-01 
 1.80436953e-01  7.56926293e-01  1.80436953e-01  7.25676739e-01  1.80436953e-01  6.87863941e-01  1.80436953e-01  6.90635589e-01 
 1.81436953e-01  7.57284576e-01  1.81436953e-01  7.25842095e-01  1.81436953e-01  6.61814788e-01  1.81436953e-01  6.64370557e-01 
 1.82436953e-01  7.57222465e-01  1.82436953e-01  7.25618302e-01  1.82436953e-01  6.39524824e-01  1.82436953e-01  6.41904916e-01 
 1.83436953e-01  7.56591109e-01  1.83436953e-01  7.24876081e-01  1.83436953e-01  6.23132773e-01  1.83436953e-01  6.25389516e-01 
 1.84436953e-01  7.55280272e-01  1.84436953e-01  7.23519576e-01  1.84436953e-01  6.14199511e-01  1.84436953e-01  6.16390006e-01 
 1.85436953e-01  7.53241928e-01  1.85436953e-01  7.21508368e-01  1.85436953e-01  6.13577140e-01  1.85436953e-01  6.15760422e-01 
 1.86436953e-01  7.50488352e-01  1.86436953e-01  7.18856221e-01  1.86436953e-01  6.21322182e-01  1.86436953e-01  6.23557257e-01 
 1.87436953e-01  7.47099391e-01  1.87436953e-01  7.15637585e-01  1.87436953e-01  6.36699823e-01  1.87436953e-01  6.39044471e-01 
 1.88436953e-01  7.43206292e-01  1.88436953e-01  7.11971201e-01  1.88436953e-01  6.58242808e-01  1.88436953e-01  6.60751126e-01 
 1.89436953e-01  7.38982385e-01  1.89436953e-01  7.08010962e-01  1.89436953e-01  6.83892858e-01  1.89436953e-01  6.86610068e-01 
 1.90436953e-01  7.34608313e-01  1.90436953e-01  7.03914361e-01  1.90436953e-01  7.11169309e-01  1.90436953e-01  7.14115849e-01 
 1.91436953e-01  7.30253152e-01  1.91436953e-01  6.99827180e-01  1.91436953e-01  7.37399855e-01  1.91436953e-01  7.40555047e-01 
 1.92436953e-01  7.26048489e-01  1.92436953e-01  6.95861847e-01  1.92436953e-01  7.59968403e-01  1.92436953e-01  7.63278291e-01 
 1.93436953e-01  7.22103682e-01  1.93436953e-01  6.92111575e-01  1.93436953e-01  7.76628242e-01  1.93436953e-01  7.80038050e-01 
 1.94436953e-01  7.18493458e-01  1.94436953e-01  6.88639800e-01  1.94436953e-01  7.85723838e-01  1.94436953e-01  7.89184573e-01 
 1.95436953e-01  7.15259768e-01  1.95436953e-01  6.85481947e-01  1.95436953e-01  7.86359031e-01  1.95436953e-01  7.89824752e-01 
 1.96436953e-01  7.12399767e-01  1.96436953e-01  6.82635183e-01  1.96436953e-01  7.78468624e-01  1.96436953e-01  7.81893343e-01 
 1.97436953e-01  7.09876407e-01  1.97436953e-01  6.80067529e-01  1.97436953e-01  7.62833680e-01  1.97436953e-01  7.66168716e-01 
 1.98436953e-01  7.07618377e-01  1.98436953e-01  6.77718511e-01  1.98436953e-01  7.41002217e-01  1.98436953e-01  7.44191411e-01 
 1.99436953e-01  7.05539557e-01  1.99436953e-01  6.75516070e-01  1.99436953e-01  7.15155126e-01  1.99436953e-01  7.18140401e-01 
 2.00000000e-01  7.04408652e-01  2.00000000e-01  6.74307901e-01  2.00000000e-01  6.99793330e-01  2.00000000e-01  7.02649120e-01 
