 frequency       db(v(out))      frequency       db(v(outpl))    frequency       ph(v(out))      frequency       ph(v(outpl))   
 3.98107171e+03  5.48121838e+01  3.98107171e+03  5.39160988e+01  3.98107171e+03 -6.30054532e-01  3.98107171e+03 -5.97200113e-01 
 5.01187234e+03  5.40102291e+01  5.01187234e+03  5.31799704e+01  5.01187234e+03 -7.42764740e-01  5.01187234e+03 -7.08118429e-01 
 6.30957344e+03  5.29816757e+01  6.30957344e+03  5.22209382e+01  6.30957344e+03 -8.57731868e-01  6.30957344e+03 -8.23041245e-01 
 7.94328235e+03  5.17294093e+01  7.94328235e+03  5.10348662e+01  7.94328235e+03 -9.69066290e-01  7.94328235e+03 -9.36091474e-01 
 1.00000000e+04  5.02774114e+01  1.00000000e+04  4.96399583e+01  1.00000000e+04 -1.07175667e+00  1.00000000e+04 -1.04185763e+00 
 1.25892541e+04  4.86625210e+01  1.25892541e+04  4.80702522e+01  1.25892541e+04 -1.16262483e+00  1.25892541e+04 -1.13655436e+00 
 1.58489319e+04  4.69243453e+01  1.58489319e+04  4.63654656e+01  1.58489319e+04 -1.24046791e+00  1.58489319e+04 -1.21840964e+00 
 1.99526231e+04  4.50980569e+01  1.99526231e+04  4.45626199e+01  1.99526231e+04 -1.30560782e+00  1.99526231e+04 -1.28735032e+00 
 2.51188643e+04  4.32113517e+01  2.51188643e+04  4.26917881e+01  2.51188643e+04 -1.35926778e+00  2.51188643e+04 -1.34439117e+00 
 3.16227766e+04  4.12843930e+01  3.16227766e+04  4.07753157e+01  3.16227766e+04 -1.40305482e+00  3.16227766e+04 -1.39106937e+00 
 3.98107171e+04  3.93311287e+01  3.98107171e+04  3.88288663e+01  3.98107171e+04 -1.43862932e+00  3.98107171e+04 -1.42905738e+00 
 5.01187234e+04  3.73608931e+01  5.01187234e+04  3.68630124e+01  5.01187234e+04 -1.46753399e+00  5.01187234e+04 -1.45994932e+00 
 6.30957344e+04  3.53798028e+01  6.30957344e+04  3.48847201e+01  6.30957344e+04 -1.49112672e+00  6.30957344e+04 -1.48516827e+00 
 7.94328235e+04  3.33918150e+01  7.94328235e+04  3.28985110e+01  7.94328235e+04 -1.51057131e+00  7.94328235e+04 -1.50594355e+00 
 1.00000000e+05  3.13994723e+01  1.00000000e+05  3.09072957e+01  1.00000000e+05 -1.52685632e+00  1.00000000e+05 -1.52332385e+00 
 1.25892541e+05  2.94044076e+01  1.25892541e+05  2.89129438e+01  1.25892541e+05 -1.54082524e+00  1.25892541e+05 -1.53820551e+00 
 1.58489319e+05  2.74076781e+01  1.58489319e+05  2.69166638e+01  1.58489319e+05 -1.55320996e+00  1.58489319e+05 -1.55136624e+00 
 1.99526231e+05  2.54099864e+01  1.99526231e+05  2.49192546e+01  1.99526231e+05 -1.56466383e+00  1.99526231e+05 -1.56349934e+00 
 2.51188643e+05  2.34118294e+01  2.51188643e+05  2.29212735e+01  2.51188643e+05 -1.57579348e+00  2.51188643e+05 -1.57524685e+00 
 3.16227766e+05  2.14136044e+01  3.16227766e+05  2.09231555e+01  3.16227766e+05 -1.58718940e+00  3.16227766e+05 -1.58723182e+00 
 3.98107171e+05  1.94156938e+01  3.98107171e+05  1.89253060e+01  3.98107171e+05 -1.59945636e+00  3.98107171e+05 -1.60009013e+00 
 5.01187234e+05  1.74185476e+01  5.01187234e+05  1.69281882e+01  5.01187234e+05 -1.61324454e+00  5.01187234e+05 -1.61450324e+00 
 6.30957344e+05  1.54227789e+01  6.30957344e+05  1.49324214e+01  6.30957344e+05 -1.62928265e+00  6.30957344e+05 -1.63123281e+00 
 7.94328235e+05  1.34292948e+01  7.94328235e+05  1.29389124e+01  7.94328235e+05 -1.64841399e+00  7.94328235e+05 -1.65115844e+00 
 1.00000000e+06  1.14394852e+01  1.00000000e+06  1.09490453e+01  1.00000000e+06 -1.67163610e+00  1.00000000e+06 -1.67531890e+00 
 1.25892541e+06  9.45550899e+00  1.25892541e+06  8.96496447e+00  1.25892541e+06 -1.70014353e+00  1.25892541e+06 -1.70495665e+00 
 1.58489319e+06  7.48072313e+00  1.58489319e+06  6.98999970e+00  1.58489319e+06 -1.73537142e+00  1.58489319e+06 -1.74156296e+00 
 1.99526231e+06  5.52031776e+00  1.99526231e+06  5.02929078e+00  1.99526231e+06 -1.77903303e+00  1.99526231e+06 -1.78691660e+00 
 2.51188643e+06  3.58221824e+00  2.51188643e+06  3.09066883e+00  2.51188643e+06 -1.83313757e+00  2.51188643e+06 -1.84310163e+00 
 3.16227766e+06  1.67827528e+00  3.16227766e+06  1.18580278e+00  3.16227766e+06 -1.89996210e+00  3.16227766e+06 -1.91247688e+00 
 3.98107171e+06 -1.74380045e-01  3.98107171e+06 -6.68535947e-01  3.98107171e+06 -1.98193558e+00  3.98107171e+06 -1.99755323e+00 
 5.01187234e+06 -1.95228416e+00  5.01187234e+06 -2.44959961e+00  5.01187234e+06 -2.08138103e+00  5.01187234e+06 -2.10072155e+00 
 6.30957344e+06 -3.62596922e+00  6.30957344e+06 -4.12931488e+00  6.30957344e+06 -2.20007681e+00  6.30957344e+06 -2.22378915e+00 
 7.94328235e+06 -5.16343534e+00  7.94328235e+06 -5.67826157e+00  7.94328235e+06 -2.33868313e+00  7.94328235e+06 -2.36736632e+00 
 1.00000000e+07 -6.53853463e+00  1.00000000e+07 -7.07469686e+00  1.00000000e+07 -2.49625110e+00  1.00000000e+07 -2.53030735e+00 
 1.25892541e+07 -7.74434848e+00  1.25892541e+07 -8.31845317e+00  1.25892541e+07 -2.67016486e+00  1.25892541e+07 -2.70950729e+00 
 1.58489319e+07 -8.80884988e+00  1.58489319e+07 -9.44633624e+00  1.58489319e+07 -2.85662611e+00  1.58489319e+07 -2.90002434e+00 
 1.99526231e+07 -9.80977026e+00  1.99526231e+07 -1.05437415e+01  1.99526231e+07 -3.05084621e+00  1.99526231e+07 -3.09438261e+00 
 2.51188643e+07 -1.08878888e+01  2.51188643e+07 -1.17416819e+01  2.51188643e+07  3.03900206e+00  2.51188643e+07  3.00540934e+00 
 3.16227766e+07 -1.22325061e+01  3.16227766e+07 -1.31268534e+01  3.16227766e+07  2.87207765e+00  3.16227766e+07  2.86986572e+00 
 3.98107171e+07 -1.37737821e+01  3.98107171e+07 -1.42267844e+01  3.98107171e+07  2.80455167e+00  3.98107171e+07  2.84638214e+00 
 5.01187234e+07 -1.40331466e+01  5.01187234e+07 -1.36408167e+01  5.01187234e+07  2.87393974e+00  5.01187234e+07  2.85754585e+00 
 6.30957344e+07 -1.23973661e+01  6.30957344e+07 -1.22251476e+01  6.30957344e+07  2.79266445e+00  6.30957344e+07  2.66923319e+00 
 7.94328235e+07 -1.14612679e+01  7.94328235e+07 -1.18508093e+01  7.94328235e+07  2.50048940e+00  7.94328235e+07  2.36163244e+00 
 1.00000000e+08 -1.19672471e+01  1.00000000e+08 -1.24167793e+01  1.00000000e+08  2.20847062e+00  1.00000000e+08  2.10102940e+00 
 1.25892541e+08 -1.29475863e+01  1.25892541e+08 -1.29069998e+01  1.25892541e+08  2.06754455e+00  1.25892541e+08  1.95624357e+00 
 1.58489319e+08 -1.27477199e+01  1.58489319e+08 -1.23531427e+01  1.58489319e+08  2.05726910e+00  1.58489319e+08  1.86512237e+00 
 1.99526231e+08 -1.11300434e+01  1.99526231e+08 -1.09574508e+01  1.99526231e+08  2.00159497e+00  1.99526231e+08  1.72073785e+00 
 2.51188643e+08 -9.16102193e+00  2.51188643e+08 -9.41711021e+00  2.51188643e+08  1.85166771e+00  2.51188643e+08  1.51087320e+00 
 3.16227766e+08 -7.37065396e+00  3.16227766e+08 -8.06287987e+00  3.16227766e+08  1.65403146e+00  3.16227766e+08  1.26693963e+00 
 3.98107171e+08 -5.85628316e+00  3.98107171e+08 -6.98174370e+00  3.98107171e+08  1.44451570e+00  3.98107171e+08  1.01243928e+00 
 5.01187234e+08 -4.61397028e+00  5.01187234e+08 -6.18958216e+00  5.01187234e+08  1.24080055e+00  5.01187234e+08  7.59583235e-01 
 6.30957344e+08 -3.62421980e+00  6.30957344e+08 -5.68355534e+00  6.30957344e+08  1.05170178e+00  6.30957344e+08  5.14226197e-01 
 7.94328235e+08 -2.85999989e+00  7.94328235e+08 -5.45362394e+00  7.94328235e+08  8.82099389e-01  7.94328235e+08  2.78842724e-01 
 1.00000000e+09 -2.28539733e+00  1.00000000e+09 -5.48804832e+00  1.00000000e+09  7.34487305e-01  1.00000000e+09  5.39511403e-02 
