 time            v(out)          time            v(outpl)       
 5.65000000e-02  8.95787978e-01  5.65000000e-02  8.62964439e-01 
 5.75000000e-02  8.96660394e-01  5.75000000e-02  8.63902243e-01 
 5.85000000e-02  8.97857650e-01  5.85000000e-02  8.65192744e-01 
 5.95000000e-02  8.99260853e-01  5.95000000e-02  8.66710704e-01 
 6.05000000e-02  9.00733584e-01  6.05000000e-02  8.68310534e-01 
 6.15000000e-02  9.02133950e-01  6.15000000e-02  8.69838436e-01 
 6.25000000e-02  9.03326792e-01  6.25000000e-02  8.71145237e-01 
 6.35000000e-02  9.04195712e-01  6.35000000e-02  8.72100399e-01 
 6.45000000e-02  9.04654796e-01  6.45000000e-02  8.72606152e-01 
 6.55000000e-02  9.04658123e-01  6.55000000e-02  8.72609741e-01 
 6.65000000e-02  9.04205427e-01  6.65000000e-02  8.72110875e-01 
 6.75000000e-02  9.03342072e-01  6.75000000e-02  8.71161690e-01 
 6.85000000e-02  9.02153289e-01  6.85000000e-02  8.69859314e-01 
 6.95000000e-02  9.00755080e-01  6.95000000e-02  8.68333794e-01 
 7.05000000e-02  8.99282400e-01  7.05000000e-02  8.66734030e-01 
 7.15000000e-02  8.97877056e-01  7.15000000e-02  8.65213788e-01 
 7.25000000e-02  8.96675732e-01  7.25000000e-02  8.63918836e-01 
 7.35000000e-02  8.95797711e-01  7.35000000e-02  8.62975009e-01 
 7.45000000e-02  8.95332755e-01  7.45000000e-02  8.62476014e-01 
 7.55000000e-02  8.95329351e-01  7.55000000e-02  8.62472405e-01 
 7.65000000e-02  8.95787967e-01  7.65000000e-02  8.62964439e-01 
 7.75000000e-02  8.96660372e-01  7.75000000e-02  8.63902243e-01 
 7.85000000e-02  8.97857643e-01  7.85000000e-02  8.65192744e-01 
 7.95000000e-02  8.99260877e-01  7.95000000e-02  8.66710704e-01 
 8.00000000e-02  8.99997369e-01  8.00000000e-02  8.67509823e-01 
 8.01000000e-02  9.00171730e-01  8.01000000e-02  8.67697094e-01 
 8.03000000e-02  9.00520310e-01  8.03000000e-02  8.68071716e-01 
 8.07000000e-02  9.01210680e-01  8.07000000e-02  8.68814390e-01 
 8.15000000e-02  9.02532592e-01  8.15000000e-02  8.70238965e-01 
 8.25000000e-02  9.03987643e-01  8.25000000e-02  8.71809406e-01 
 8.35000000e-02  9.05116981e-01  8.35000000e-02  8.73026419e-01 
 8.45000000e-02  9.05836704e-01  8.45000000e-02  8.73794118e-01 
 8.55000000e-02  9.06102686e-01  8.55000000e-02  8.74061741e-01 
 8.65000000e-02  9.05916564e-01  8.65000000e-02  8.73830833e-01 
 8.75000000e-02  9.05324877e-01  8.75000000e-02  8.73154686e-01 
 8.85000000e-02  9.04413229e-01  8.85000000e-02  8.72130759e-01 
 8.95000000e-02  9.03296934e-01  8.95000000e-02  8.70888477e-01 
 9.05000000e-02  9.02109620e-01  9.05000000e-02  8.69575436e-01 
 9.15000000e-02  9.00991367e-01  9.15000000e-02  8.68343568e-01 
 9.25000000e-02  9.00076776e-01  9.25000000e-02  8.67336624e-01 
 9.35000000e-02  8.99482934e-01  9.35000000e-02  8.66678313e-01 
 9.45000000e-02  8.99297637e-01  9.45000000e-02  8.66460387e-01 
 9.55000000e-02  8.99567725e-01  9.55000000e-02  8.66731597e-01 
 9.65000000e-02  9.00292089e-01  9.65000000e-02  8.67490844e-01 
 9.75000000e-02  9.01421777e-01  9.75000000e-02  8.68687348e-01 
 9.85000000e-02  9.02867582e-01  9.85000000e-02  8.70227877e-01 
 9.95000000e-02  9.04511252e-01  9.95000000e-02  8.71987856e-01 
 1.00000000e-01  9.05365459e-01  1.00000000e-01  8.72905496e-01 
 1.00100000e-01  9.05523514e-01  1.00100000e-01  8.73076446e-01 
 1.00300000e-01  9.05838435e-01  1.00300000e-01  8.73417289e-01 
 1.00700000e-01  9.06461579e-01  1.00700000e-01  8.74092536e-01 
 1.01500000e-01  9.07650550e-01  1.01500000e-01  8.75383721e-01 
 1.02500000e-01  9.08944300e-01  1.02500000e-01  8.76792320e-01 
 1.03500000e-01  9.09920733e-01  1.03500000e-01  8.77855785e-01 
 1.04500000e-01  9.10497855e-01  1.04500000e-01  8.78480272e-01 
 1.05500000e-01  9.10632341e-01  1.05500000e-01  8.78615747e-01 
